Complexity,Loss,Equation
1,0.0017516095,"3.7276328"
4,0.0017177336,"inv(x2) + 3.359746"
5,0.00171484,"(1.3894767 / x2) + 3.216468"
6,0.0017095594,"x2 + (20.259323 / cube(x2))"
7,0.0017017635,"((x2 + -5.624753) * x2) + 11.627273"
8,0.0016416274,"((x2 * -22.377464) + cube(x2)) + 44.461933"
9,0.0016370149,"((sqrt(x2) * -73.80807) + cube(x2)) + 105.32047"
10,0.0016365766,"(cube(x2) + (60.45858 / x2)) + (x2 * -14.204159)"
