20:    "read_verilog -sv $src fpga/openxc7-synth/gf_adder_param.v fpga/openxc7-synth/gf_mul_param.v $W/rtl/${top}_h.v; synth_xilinx -abc9 -nocarry -arch xc7 -top ${top}_h -flatten; write_json $W/out/${top}.json" \
2    9        1056        533        147     990.1      24
2    11       1208        609        153    1111.1      23
3    9        1100        556        150    1100.1      23
3    11       1300        655        156    1087.0      26
4    9        1338        674        156    1111.1      26
4    11       1538        774        162    1142.9      24
5    9        1310        664        159    1009.1      23
5    11       1600        809        165    1157.4      24
6    9        1522        769        165    1157.4      24
6    11       1744        879        171    1111.1      31
2    17       1610        810        171    1001.0      31
2    21       1832        921        183    1001.0      32
2    25       2238       1122        298    1048.2      33
2    29       2410       1209        317    1100.1      32
2    33       2586       1297        329    1015.2      38
3    17       1874        945        174    1157.4      41
3    21       2282       1144        188     998.0      49
3    25       2670       1341        304    1111.1      51
3    29       3012       1513        320     986.2      58
3    33       3346       1678        332     947.9      58
