2    9        1214       1163        147     854.0      26
2    11       1410       1290        153     947.0      24
3    9        1366       1252        150     880.3      23
3    11       1730       1511        156     871.8      25
4    9        1312       1214        156     892.9      23
4    11       1492       1345        162    1087.0      23
5    9        1436       1422        159     839.6      22
5    11       1666       1581        165     907.4      22
6    9        1978       1921        165     990.1      24
6    11       2336       2187        171     991.1      25
2    17       2268       1885        171     557.4      24
2    21       3432       2609        183     957.9      28
2    25       4034       2981        298     990.1      30
2    29       5538       3817        317     909.1      43
2    33       4554       3506        329    1087.0      48
3    17       2312       1942        174     645.6      35
3    21       2798       2291        188     976.6      33
3    25       3602       2823        304    1100.1      34
3    29       4164       3220        320    1111.1      46
3    33       5084       3704        332     619.6      51
