Complexity,Loss,Equation
1,3.5377926e-8,"0.002029406"
3,1.8181918e-8,"0.006346506 / x1"
4,3.870082e-9,"0.04598188 / exp(x1)"
6,5.915234e-11,"(0.12475463 / exp(x1)) / x2"
8,3.062871e-20,"0.16718426 / (x2 * (square(x1) * x1))"
10,1.951564e-20,"0.0898589 / (((x1 * square(x1)) / 1.8605199) * x2)"
14,1.7889337e-20,"0.010114143 / (((x1 * square(x1)) * (x0 * (x2 * 1.0855742))) * x0)"
16,1.6263033e-20,"-0.013623859 / ((x2 * (((-1.226212 - x0) * x0) * square(x1))) * (x0 * x1))"
