specs/fpga/testbench/apb_bridge_tb.t27	BLOCKED	error: redeclaration of local variable 'i'
specs/fpga/testbench/assembler_tb.t27	BLOCKED	error: not yet implemented
specs/fpga/testbench/axi4_tb.t27	BLOCKED	error: redeclaration of local variable 'i'
specs/fpga/testbench/bootrom_tb.t27	BLOCKED	error: expected a digit after base prefix
specs/fpga/testbench/bridge_tb.t27	BLOCKED	error: local variable shadows declaration of 'rx_ready'
specs/fpga/testbench/clock_domain_tb.t27	BLOCKED	error: not yet implemented
specs/fpga/testbench/cts_tb.t27	BLOCKED	error: not yet implemented
specs/fpga/testbench/dft_tb.t27	BLOCKED	error: local variable shadows declaration of 'test_mode'
specs/fpga/testbench/fifo_tb.t27	BLOCKED	error: local variable shadows declaration of 'wr_en'
specs/fpga/testbench/formal_tb.t27	BLOCKED	error: local constant shadows declaration of 'cover_hit'
specs/fpga/testbench/gf16_accel_tb.t27	BLOCKED	error: not yet implemented
specs/fpga/testbench/hir_tb.t27	BLOCKED	error: redeclaration of local variable 'ok'
specs/fpga/testbench/integration_tb.t27	BLOCKED	error: local constant shadows declaration of 'all_modules_idle'
specs/fpga/testbench/linker_tb.t27	BLOCKED	error: expected type expression, found 'align'
specs/fpga/testbench/mac_tb.t27	BLOCKED	codegen failed: parse error in fn 'run_tests' near line 353: Unexpected token in expressio
specs/fpga/testbench/memory_tb.t27	BLOCKED	error: redeclaration of local variable 'i'
specs/fpga/testbench/partition_tb.t27	BLOCKED	error: not yet implemented
specs/fpga/testbench/placement_tb.t27	BLOCKED	error: not yet implemented
specs/fpga/testbench/power_analysis_tb.t27	BLOCKED	codegen failed: parse error in fn 'test_utilization_creation' near line 40: unexpected tok
specs/fpga/testbench/power_tb.t27	BLOCKED	error: not yet implemented
specs/fpga/testbench/router_tb.t27	BLOCKED	error: not yet implemented
specs/fpga/testbench/simulator_tb.t27	BLOCKED	error: cannot assign to constant
specs/fpga/testbench/spi_tb.t27	BLOCKED	error: local variable shadows declaration of 'spi_start'
specs/fpga/testbench/stdlib_tb.t27	BLOCKED	error: not yet implemented
specs/fpga/testbench/ternary_isa_tb.t27	BLOCKED	error: local constant shadows declaration of 'operand_a'
specs/fpga/testbench/timing_tb.t27	BLOCKED	error: not yet implemented
specs/fpga/testbench/top_tb.t27	BLOCKED	error: use of undeclared identifier 'print'
specs/fpga/testbench/uart_tb.t27	BLOCKED	codegen failed: parse error in fn 'run_tests' near line 256: Unexpected token in expressio
specs/fpga/testbench/vcd_conformance_compare_tb.t27	BLOCKED	codegen failed: parse error in fn 'test_run_compare_all_match' near line 59: unexpected to
specs/fpga/testbench/vcd_trace_tb.t27	BLOCKED	error: local constant shadows declaration of 'timestamp_ps'
specs/fpga/timing.t27	RUNS	24
specs/fpga/top_level.t27	BLOCKED	error: expected field initializer
specs/fpga/uart.t27	BLOCKED	error: cannot assign to constant
specs/fpga/vcd_conformance_compare.t27	BLOCKED	codegen failed: parse error in fn 'compare_result_init' near line 219: unexpected token af
specs/fpga/vcd_trace.t27	BLOCKED	codegen failed: Expected LBrace, got Amp ('&') at line 106:37
specs/fpga/verification/build_verify.t27	RUNS	8
specs/git/diff.t27	BLOCKED	error: local variable shadows declaration of 'stats'
specs/git/operations.t27	BLOCKED	error: expected type expression, found ','
specs/git/schema.t27	BLOCKED	error: expected type expression, found ','
specs/git/status.t27	BLOCKED	error: not yet implemented
specs/github/auth.t27	BLOCKED	codegen failed: parse error at module level near line 7: Unexpected token in expression: C
specs/github/comments.t27	BLOCKED	codegen failed: parse error at module level near line 3: Unexpected token in expression: C
specs/github/issues.t27	BLOCKED	codegen failed: parse error at module level near line 3: Unexpected token in expression: C
specs/github/prs.t27	BLOCKED	codegen failed: parse error at module level near line 3: Unexpected token in expression: C
specs/github/tests/e2e_full_flow.t27	BLOCKED	codegen failed: parse error at module level near line 8: Unexpected token in expression: C
specs/graph/knowledge_graph.t27	BLOCKED	codegen failed: Expected LBrace, got Semicolon (';') at line 101:59
specs/hslm/forward_pass.t27	BLOCKED	codegen failed: Expected LBrace, got Semicolon (';') at line 82:134
specs/igla/coder/_tmp_pipeline_import.t27	BLOCKED	error: expected expression, found ']'
specs/igla/coder/arch.t27	BLOCKED	error: expected expression, found ']'
specs/igla/coder/bench_proxy.t27	BLOCKED	error: use of undeclared identifier 'BenchContext'
