Complexity,Loss,Equation
1,4.1920415e-5,"0.22684065"
3,8.881784e-17,"0.7082039 / x1"
5,5.3290704e-17,"0.35713843 / (x1 / 1.9829956)"
7,4.8849813e-17,"(x2 + 0.11022275) * (0.08732238 / x1)"
9,3.5527136e-17,"sqrt(square(-0.093269095 / x1)) * (x2 + -0.40687445)"
12,3.1086245e-17,"square(x2) * ((0.08986094 / x1) / ((x0 + x2) - 0.11538403))"
